"Variable"	"Variable1"	"Coef"	"SE"	"p"	"model"	"ord.variable"	"ord.model"
"1"	"Income"	"Income"	-0.23	0.04	0.001	"m1"	"Income"	"m1"
"2"	"Education"	"Education"	0.01	0.04	0.2	"m1"	"Education"	"m1"
"3"	"Health"	"Health"	-0.16	0.03	0.001	"m1"	"Health"	"m1"
"4"	"Eyesight"	"Eyesight"	-0.18	0.04	0.001	"m1"	"Eyesight"	"m1"
"5"	"Men"	"Men"	-0.14	0.07	0.2	"m1"	"Men"	"m1"
"6"	"White"	"White"	-0.13	0.09	0.2	"m1"	"White"	"m1"
"7"	"Income"	"Income"	-0.13	0.04	0.01	"m2"	"Income"	"m2"
"8"	"Education"	"Education"	0.01	0.03	0.2	"m2"	"Education"	"m2"
"9"	"Health"	"Health"	-0.13	0.03	0.001	"m2"	"Health"	"m2"
"10"	"Eyesight"	"Eyesight"	-0.1	0.04	0.01	"m2"	"Eyesight"	"m2"
"11"	"Men"	"Men"	-0.09	0.06	0.2	"m2"	"Men"	"m2"
"12"	"White"	"White"	-0.07	0.09	0.2	"m2"	"White"	"m2"
"13"	"Married"	"Married"	-0.6	0.08	0.001	"m2"	"Married"	"m2"
"14"	"numrelatives"	"Relatives"	-0.12	0.03	0.001	"m2"	"Relatives"	"m2"
"15"	"numfriends"	"Friends #"	-0.09	0.03	0.05	"m2"	"Friends #"	"m2"
"16"	"contactneighbors"	"Neighbor contact"	-0.09	0.03	0.001	"m2"	"Neighbor contact"	"m2"
"17"	"contactfriends"	"Friend contact"	-0.07	0.03	0.1	"m2"	"Friend contact"	"m2"
"18"	"Income"	"Income"	-0.16	0.04	0.01	"m3"	"Income"	"m3"
"19"	"Education"	"Education"	0.02	0.03	0.2	"m3"	"Education"	"m3"
"20"	"Health"	"Health"	-0.1	0.03	0.01	"m3"	"Health"	"m3"
"21"	"Eyesight"	"Eyesight"	-0.08	0.04	0.05	"m3"	"Eyesight"	"m3"
"22"	"Men"	"Men"	-0.06	0.07	0.2	"m3"	"Men"	"m3"
"23"	"White"	"White"	0.04	0.09	0.2	"m3"	"White"	"m3"
"24"	"Married"	"Married"	-0.61	0.08	0.001	"m3"	"Married"	"m3"
"25"	"numrelatives"	"Relatives"	-0.09	0.03	0.01	"m3"	"Relatives"	"m3"
"26"	"numfriends"	"Friends #"	-0.08	0.03	0.1	"m3"	"Friends #"	"m3"
"27"	"contactneighbors"	"Neighbor contact"	-0.09	0.03	0.001	"m3"	"Neighbor contact"	"m3"
"28"	"contactfriends"	"Friend contact"	-0.07	0.03	0.1	"m3"	"Friend contact"	"m3"
"29"	"PercFamilysupport"	"Fam support"	-0.09	0.03	0.01	"m3"	"Fam support"	"m3"
"30"	"PercFamilystrain"	"Fam strain"	0.25	0.04	0.001	"m3"	"Fam strain"	"m3"
"31"	"PercFriendssupport"	"Friend support"	-0.01	0.03	0.2	"m3"	"Friend support"	"m3"
"32"	"Percspousesupport"	"Spouse support"	0.08	0.06	0.2	"m3"	"Spouse support"	"m3"
