"Variable1"	"Coef"	"SE"	"p"	"Coef"	"SE"	"p"	"Coef"	"SE"	"p"
"1"	"Education"	0.01	0.04	0.2	0.01	0.03	0.2	0.02	0.03	0.2
"2"	"Eyesight"	-0.18	0.04	0.001	-0.1	0.04	0.01	-0.08	0.04	0.05
"3"	"Health"	-0.16	0.03	0.001	-0.13	0.03	0.001	-0.1	0.03	0.01
"4"	"Income"	-0.23	0.04	0.001	-0.13	0.04	0.01	-0.16	0.04	0.01
"5"	"Men"	-0.14	0.07	0.2	-0.09	0.06	0.2	-0.06	0.07	0.2
"6"	"White"	-0.13	0.09	0.2	-0.07	0.09	0.2	0.04	0.09	0.2
"7"	"Friend contact"	NA	NA	NA	-0.07	0.03	0.1	-0.07	0.03	0.1
"8"	"Neighbor contact"	NA	NA	NA	-0.09	0.03	0.001	-0.09	0.03	0.001
"9"	"Married"	NA	NA	NA	-0.6	0.08	0.001	-0.61	0.08	0.001
"10"	"Friends #"	NA	NA	NA	-0.09	0.03	0.05	-0.08	0.03	0.1
"11"	"Relatives"	NA	NA	NA	-0.12	0.03	0.001	-0.09	0.03	0.01
"12"	"Fam strain"	NA	NA	NA	NA	NA	NA	0.25	0.04	0.001
"13"	"Fam support"	NA	NA	NA	NA	NA	NA	-0.09	0.03	0.01
"14"	"Friend support"	NA	NA	NA	NA	NA	NA	-0.01	0.03	0.2
"15"	"Spouse support"	NA	NA	NA	NA	NA	NA	0.08	0.06	0.2
